'BOUT	B AW T
'CAUSE	K AH Z
'COURSE	K AO R S
'EM	 AH M
'FRISCO	F R IH S K OW
'KAY	K EY
'QUOTE	K W OW T
'ROUND	R AW N D
'S	 EH S
'TIL	T IH L
'TIS	T IH Z
3-D	TH R IY D IY
3D	TH R IY D IY
A'S	 EY Z
A.'S	 EY Z
A42128	 EY F AO R T UW W AH N T UW EY T
AAA	T R IH P AH L EY
AABERG	 AA B ER G
AAKER	 AA K ER
AALIYAH	 AA L IY AA
AALSETH	 AA L S EH TH
AANCOR	 AA N K AO R
AARDEMA	 AA R D EH M AH
AARDVARKS	 AA R D V AA R K S
AARGH	 AA R G
AARON	 EH R AH N
AARON'S	 EH R AH N Z
AARONS	 EH R AH N Z
AARONSON	 EH R AH N S AH N
AARONSON(1)	 AA R AH N S AH N
AARONSON'S	 EH R AH N S AH N Z
AARONSON'S(1)	 AA R AH N S AH N Z
AARTI	 AA R T IY
AASE	 AA S
AASEN	 AA S AH N
ABABA	 AH B AA B AH
ABABA(1)	 AA B AH B AH
ABACHA	 AE B AH K AH
ABACO	 AE B AH K OW
ABAD	 AH B AA D
ABAIR	 AH B EH R
ABALKIN	 AH B AA L K IH N
ABALONES	 AE B AH L OW N IY Z
ABANDONING	 AH B AE N D AH N IH NG
ABANDONS	 AH B AE N D AH N Z
ABANTO	 AH B AE N T OW
ABARCA	 AH B AA R K AH
ABARE	 AA B AA R IY
ABASCAL	 AE B AH S K AH L
ABATED	 AH B EY T IH D
ABATEMENTS	 AH B EY T M AH N T S
ABATES	 AH B EY T S
ABATING	 AH B EY T IH NG
ABBA	 AE B AH
ABBADO	 AH B AA D OW
ABBAS	 AH B AA S
ABBATIELLO	 AA B AA T IY EH L OW
ABBETT	 AH B EH T
ABBEVILLE	 AE B V IH L
ABBOTSTOWN	 AE B AH T S T AW N
ABBOTT'S	 AE B AH T S
ABBOTTSTOWN	 AE B AH T S T AW N
ABBOUD	 AH B UW D
ABBOUD(1)	 AH B AW D
ABBREVIATING	 AH B R IY V IY EY T IH NG
ABBRUZZESE	 AA B R UW T S EY Z IY
ABBS	 AE B Z
ABBY	 AE B IY
ABC	 EY B IY S IY
ABC'S	 EY B IY S IY Z
ABCO	 AE B K OW
ABCOTEK	 AE B K OW T EH K
ABCS	 EY B IY S IY Z
ABDALLA	 AE B D AE L AH
ABDEL	 AE B D EH L
ABDELLA	 AE B D EH L AH
ABDICATED	 AE B D AH K EY T AH D
ABDICATES	 AE B D AH K EY T S
ABDO	 AE B D OW
ABDOLLAH	 AE B D AA L AH
ABDUCTED(1)	 AH B D AH K T IH D
ABDUCTEE	 AE B D AH K T IY
ABDUCTEES	 AE B D AH K T IY Z
ABDUCTING	 AE B D AH K T IH NG
ABDUCTING(1)	 AH B D AH K T IH NG
ABDUCTORS	 AE B D AH K T ER Z
ABDUCTORS(1)	 AH B D AH K T ER Z
ABDUCTS	 AE B D AH K T S
ABDUL	 AE B D UW L
ABDULAZIZ	 AE B D UW L AH Z IY Z
ABDULLA	 AA B D UW L AH
ABDULLAH	 AE B D AH L AH
ABE	 EY B
ABEDI	 AH B EH D IY
ABEL	 EY B AH L
ABELA	 AA B EH L AH
ABELL	 EY B AH L
ABELLA	 AH B EH L AH
ABELN	 AE B IH L N
ABELS	 EY B AH L Z
ABEND	 AE B EH N D
ABEND(1)	 AH B EH N D
ABENDROTH	 AE B IH N D R AO TH
ABER	 EY B ER
ABERCROMBIE	 AE B ER K R AA M B IY
ABERFORD	 EY B ER F ER D
ABERG	 AE B ER G
ABERMIN	 AE B ER M IH N
ABERNETHY	 AE B ER N EH TH IY
ABERRATIONAL	 AE B ER EY SH AH N AH L
ABERRATIONS	 AE B ER EY SH AH N Z
ABERT	 AE B ER T
ABETTING	 AH B EH T IH NG
ABEX	 EY B EH K S
ABEYTA	 AA B EY T AH
ABHORRED	 AH B HH AO R D
ABIAM	 EY B IY AH M
ABIAM'S	 EY B IY AH M Z
ABID	 EY B IH D
ABIDED	 AH B AY D IH D
ABIDES	 AH B AY D Z
ABIDJAN	 AE B IH JH AA N
ABIE	 AE B IY
ABILA	 AA B IY L AH
ABILENE	 AE B IH L IY N
ABIMAEL	 AE B IH M EY L
ABIMAELS	 AE B IH M EY L Z
ABINGDON	 AE B IH NG D AH N
ABINGTON	 AE B IH NG T AH N
ABIO	 AA B IY OW
ABIOLA	 AA B IY OW L AH
ABIOMED	 EY B IY AH M EH D
ABIQUIU	 AH B IH K Y UW
ABITIBI	 AE B IH T IY B IY
ABKHAZIA	 AE B K AA Z Y AH
ABKHAZIA(1)	 AE B K AE Z Y AH
ABKHAZIAN	 AE B K AA Z IY AH N
ABKHAZIAN(1)	 AE B K AE Z IY AH N
ABKHAZIAN(2)	 AE B K AA Z Y AH N
ABKHAZIAN(3)	 AE B K AE Z Y AH N
ABKHAZIANS	 AE B K AA Z IY AH N Z
ABLED	 EY B AH L D
ABLER	 EY B AH L ER
ABLES	 EY B AH L Z
ABLEST	 EY B AH L S T
ABLEST(1)	 EY B L AH S T
ABNER	 AE B N ER
ABNEY	 AE B N IY
ABO'S	 AA B OW Z
ABOHALIMA	 AE B AH HH AH L IY M AH
ABOLISHED	 AH B AA L IH SH T
ABOLISHING	 AH B AA L IH SH IH NG
ABOLITIONISTS	 AE B AH L IH SH AH N AH S T S
ABOLITIONISTS(1)	 AE B AH L IH SH AH N AH S
